filename,pseudo_label,true_label,image_idx
10025_Achroomyces_disciformis/DB2012PIC54488033.JPG,0,1,74
10252_Amanita_muscaria/JAJ2017-9200333_Bk-MWTrAU-.JPG,0,37,2742
10266_Amanita_strobiliformis/TAK2013PIC58818799.JPG,0,42,3252
10266_Amanita_strobiliformis/TAK2013PIC85066739.JPG,0,42,3259
10271_Amanita_vaginata var. vaginata/BL2011PIC12076185.JPG,0,44,3395
10559_Arrhenia_retiruga/ML2009PIC73736885.JPG,0,55,4111
10666_Ascocoryne_cylichnium/KNI2011PIC14510847.JPG,0,57,4244
10994_Basidioradulum_radula/TOB2016PIC79551539.JPG,0,72,5348
11064_Imleria_badia/OMA2016-9182449_rkfo51s-x.JPG,0,80,6246
11067_Hortiboletus_bubalinus/GSC2016-9166952_HJeRUNZh8.JPG,0,81,6326
11067_Hortiboletus_bubalinus/GSC2017-9201879_H1FbUMvvZ.JPG,0,81,6328
11081_Pseudoboletus_parasiticus/LWL2016-9177607_H1w7jLSA.JPG,0,85,6762
11095_Hortiboletus_rubellus/EAT2009PIC14325228.JPG,0,93,7885
11095_Hortiboletus_rubellus/EAT2009PIC23568458.JPG,0,93,7886
11797_Clitocybe_phyllophila/BWP2010PIC80446091.JPG,0,157,11199
11803_Clitocybe_rivulosa/TS2016-9179933_ryr6iJ3yg.JPG,0,158,11366
11825_Clitopilus_prunulus/BWP2011PIC23103819.JPG,0,163,11572
11866_Coltricia_confluens/EAT2012PIC31323804.JPG,0,167,11845
12220_Ophiocordyceps_entomorrhiza/MAV2017-9201642_ByGzwGLvW.JPG,0,179,12453
12315_Cortinarius_bolaris/OMA2017-9211217_HyEFB3P9W.JPG,0,193,13445
12315_Cortinarius_bolaris/OMA2017-9212317_BydLqhi9W.JPG,0,193,13446
12315_Cortinarius_bolaris/OSP2017-9211591_B1h2d0dcW.JPG,0,193,13448
12357_Cortinarius_citrinus/RE2017-9219780_rkxAp7hsb.JPG,0,203,13889
12426_Cortinarius_flexipes/TKH2013PIC87620216.JPG,0,215,14531
12606_Cortinarius_semisanguineus/TS2013PIC30376050.JPG,0,245,16009
12606_Cortinarius_semisanguineus/TS2013PIC52928328.JPG,0,245,16010
12681_Cortinarius_vernus/TIL2017-9190893_ryPXWsasAg.JPG,0,261,16619
12919_Cylindrobasidium_laeve/GLJ2017-9187332_Syc5BopFg.JPG,0,279,17663
12919_Cylindrobasidium_laeve/HF2012PIC65921968.JPG,0,279,17666
13002_Daedalea_quercina/BEC2017-9186007_SJlgsi7pLe.JPG,0,290,18724
13003_Daedaleopsis_confragosa/LB2013PIC21534167.JPG,0,291,19011
13504_Reticularia_lycoperdon/TAK2013PIC25178565.JPG,0,307,19982
13504_Reticularia_lycoperdon/TAK2013PIC50583423.JPG,0,307,19983
13558_Entoloma_cetratum/TKH2012PIC86040854.JPG,0,310,20091
13958_Exidia_thuretiana/MMN2009PIC86867742.JPG,0,348,21780
14064_Fomitopsis_pinicola/TOB2016PIC58876077.JPG,0,358,22994
14155_Ganoderma_adspersum/BWP2016-9170591_r1YxgWWq.JPG,0,371,23752
14158_Ganoderma_applanatum/DI2017-9185236_HkxYOXkvHe.JPG,0,372,23912
14160_Ganoderma_pfeifferi/TAK2012PIC15963389.JPG,0,374,24416
14221_Geoglossum_umbratile/TKH2014PIC13186468.JPG,0,384,25191
14610_Helvella_elastica/JHV2010PIC81617897.JPG,0,421,27599
14668_Hericium_erinaceus/IMTH2012PIC77658779.JPG,0,427,28085
15240_Annulohypoxylon_multiforme/TS2016PIC48599250.JPG,0,515,33718
15368_Inocybe_fuscidula/JM2009PIC32356151.JPG,0,532,34339
15425_Inocybe_napipes/TKH2012PIC82857883.JPG,0,541,34938
15543_Ischnoderma_benzoinum/MSO2013PIC78141571.JPG,0,554,35939
15639_Laccaria_laccata/TKH2012PIC48466967.JPG,0,559,36734
15639_Laccaria_laccata/TKH2017-9197963_SkqlBCuHW.JPG,0,559,36749
15815_Lactarius_blennius/JAJ2017-9209946_Syv4LyXqb.JPG,0,572,37346
15900_Lactarius_pubescens/DP2016-9177859_rJgT6rWY0.JPG,0,595,38420
16111_Leccinum_scabrum/TS2010PIC58998290.JPG,0,621,40363
16117_Leccinum_versipelle/D9N2017-9194335_rkqJkJuMW.JPG,0,623,40537
16117_Leccinum_versipelle/FDE2011PIC21500514.JPG,0,623,40539
16138_Lentinellus_ursinus/TL2015PIC86214951.JPG,0,626,40827
16138_Lentinellus_ursinus/TL2016-9169710_Bkxy6EuQY.JPG,0,626,40828
16138_Lentinellus_ursinus/TOB2015PIC34432963.JPG,0,626,40833
16175_Lepiota_clypeolaria/APE2017-9201965_B1gOywPDZ.JPG,0,633,41307
16187_Lepiota_felina/JMI2017-9226390_HksodS62W.JPG,0,637,41637
16390_Leucoagaricus_leucothites/LSA2017-9228027_r1lK6O4m6Z.JPG,0,650,42133
16580_Lycogala_epidendrum/JSP2010PIC35309107.JPG,0,655,42370
16660_Macrolepiota_procera/JCS2010PIC81678265.JPG,0,671,43446
16667_Macrotyphula_fistulosa/SVEND2010PIC56259493.JPG,0,672,43554
16694_Mycetinis_alliaceus/APE2017-9219886_HJl7epfps-.JPG,0,676,43753
16694_Mycetinis_alliaceus/BTK2016-9179138_HyilSPL1g.JPG,0,676,43761
16729_Marasmius_torquescens/TKH2012PIC44607397.JPG,0,688,44287
16786_Melanamphora_spinifera/TS2011PIC15724016.JPG,0,691,44485
17190_Mycena_amicta/EAT2013PIC17298531.JPG,0,716,45835
17234_Mycena_galopus/EAT2013PIC85588531.JPG,0,733,47010
17242_Mycena_inclinata/BWP2012PIC77391137.JPG,0,736,47396
17273_Mycena_clavata/TS2012PIC89353393.JPG,0,742,47920
17307_Mycena_speirea/EAT2013PIC72810175.JPG,0,753,48696
18457_Phlebia_tremellosa/LS2017-9227402_HklT4AQbaZ.JPG,0,822,53265
18479_Flammula_alnicola/PEL2013PIC25299502.JPG,0,826,53486
18792_Pithya_vulgaris/FS2011PIC35392680.JPG,0,847,54441
18899_Pluteus_hispidulus/ML2011PIC31150826.JPG,0,857,55935
19009_Polyporus_tuberaster/JAJ2016-9172299_HJg-AKh_j.JPG,0,872,56668
